Event,GSB,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Single,Men's Single Gold,455,469.2,431,464.4,502.5,444.4,493.8,483.5,434.96,503.51,468.8,430.12,449.03,430.61,420.24,410.86,411.4,405.85,409.9,409.3,420.83,418.82,401.34,400.45
Single,Men's Single Sliver,456,474,441.8,465.2,506.8,458.2,495.5,488.7,440.21,506.24,472,432.53,452.67,432.66,422.19,415.77,413.93,407.45,411.55,411.42,421.63,419.37,401.34,402.66
Single,Men's Single Bronze,468,481.1,450.8,494.6,508,471.4,499.4,492.8,441.26,510.68,477.19,434.45,458.03,435.88,430.38,419.66,417.82,408.72,411.83,413.8,422.56,423.28,404.1,403.58
Double,Men's Double Gold,429,394,401.4,437.4,441.8,411.3,452.2,444,408.5,431.66,412.82,422.77,433.2,384.33,397.87,381.13,377.32,377.98,377.63,389,388.77,392.67,410.28,360.33
Double,Men's Double Sliver,439,398,411,443.8,446.2,415.3,458.3,452.2,410.49,433.16,413.8,423.58,435.26,386.34,398.19,383.59,378.42,378.42,378.98,392.72,389.05,393.8,411.39,361.53
Double,Men's Double Bronze,441,,409.8,448.6,456.2,432.4,464.7,457.4,411.59,434.23,414.21,426.55,437.45,389.07,400.59,383.87,383.82,380.85,380.49,393.93,389.1,394.35,413.25,364.63
Quad,Men's Quad Gold,,,,,,,,,,,,,379.65,350.81,358.55,353.37,345.17,357.93,346.56,357.85,341.33,342.48,367.81,332.03
Quad,Men's Quad Sliver,,,,,,,,,,,,,380.89,351.47,358.98,355.08,347.09,359.1,348.91,357.43,344.57,345.78,368.96,334.75
Quad,Men's Quad Bronze,,,,,,,,,,,,,382.77,352.38,359.07,356.13,347.33,362.65,349.64,359.87,344.34,345.22,371.65,334.97
Four,Men's Four Gold,,429.6,396,418.2,422.8,399,436,429.8,386.26,419.3,399.18,384.27,397.42,368.17,363.48,363.11,355.04,366.37,356.24,367.98,367.57,364.97,359.61,343.76
Four,Men's Four Sliver,,438,397,423,427.5,404.5,439.9,438.4,389.78,420.47,402.64,386.64,401.22,372.81,366.1,365.33,357.68,367.03,357.62,367.06,368.85,365.19,360.44,343.13
Four,Men's Four Bronze,,,392.6,424,431.6,408.7,443.3,441.9,390.62,421.37,404.01,388.41,403.52,377.58,368.72,366.22,358.24,367.28,358.61,370.41,369.31,367.2,364.85,344.6
Eight,Men's Eight Gold,363.6,393.4,363.2,398.6,385.4,357.7,386.9,395.2,357.18,378.23,367,369.94,358.29,349.05,341.32,346.05,330.53,343.74,333.08,342.48,324.89,349.75,330.63,325.64
Eight,Men's Eight Sliver,365,409,366.6,398.8,386,367.9,391.2,397.1,362.52,383.29,368.98,372.61,361.82,352.92,342.74,348.01,330.67,345.58,334.88,344.75,325.11,350.98,331.96,326.6
Eight,Men's Eight Bronze,396,,364.8,400.4,386.4,370.3,393.1,399.2,365.84,385.11,369.11,372.67,364.51,353.66,343.4,348.26,331,346.77,335.85,345.38,325.34,351.18,332.59,326.73